Date,Open,High,Low,Close,Adj Close,Volume
2018-04-01,1417.619995,1638.099976,1352.880005,1566.130005,1566.130005,129919600
2018-05-01,1563.219971,1635.000000,1546.020020,1629.619995,1629.619995,71553400
2018-06-01,1637.030029,1763.099976,1635.089966,1699.800049,1699.800049,85941300
2018-07-01,1682.699951,1880.050049,1678.060059,1777.439941,1777.439941,97521100
2018-08-01,1784.000000,2025.569946,1776.020020,2012.709961,2012.709961,96546400
2018-09-01,2026.500000,2050.500000,1865.000000,2003.000000,2003.000000,94445500
2018-10-01,2021.989990,2033.189941,1476.359985,1598.010010,1598.010010,183220800
2018-11-01,1623.530029,1784.000000,1420.000000,1690.170044,1690.170044,139290000
2018-12-01,1769.459961,1778.339966,1307.000000,1501.969971,1501.969971,154812700
2019-01-01,1465.199951,1736.410034,1460.930054,1718.729980,1718.729980,134001700
2019-02-01,1638.880005,1673.060059,1566.760010,1639.829956,1639.829956,80936900
2019-03-01,1655.130005,1709.430054,1651.000000,1668.949951,1668.949951,18811800
