period,price,returns
1,0.708478,0.9137454899729256
2,0.6473685772450384,0.9285440434833032
3,0.6011102363391411,0.9361942709665733
4,0.5627559594800667,0.9602514986030374
5,0.5403872534385242,0.9568440158496524
6,0.5170663096940814,1.1190691645959412
7,0.5786329632300619,0.9125305382834752
8,0.5280202494048907,1.0185142901318816
9,0.5377961694978812,0.9759725855747301
10,0.5248743180570329,1.1172125413979572
11,0.5863961707910175,0.9565059222560891
12,0.5608914101499013,1.0067832670125132
13,0.5646960863499731,0.9318443058364185
14,0.526208832593333,0.8375749336931183
15,0.440739328068094,0.9292209686506898
16,0.4095442253498885,0.9465985482471304
17,0.38767396915920005,1.0239974112443788
18,0.396977140825854,0.9209232986865893
19,0.36558549803251617,1.1110040571558837
20,0.4061669715514798,1.0317439207471584
21,0.4190603037065233,0.9646915513312078
22,0.404263934483973,0.9871614583088331
23,0.39907377510686537,1.0595548157143824
24,0.4228405402397976,1.0177264391117575
25,0.43033599733034106,0.9339335361701707
26,0.40190521972804255,1.0578806626082478
27,0.42516776015161506,0.9867432637094707
28,0.4195314232760501,0.9702829303502888
29,0.40706417875031325,1.0419769996013712
30,0.42415151161944764,1.067397516919094
31,0.4527382703000786,1.0000366512988252
32,0.452754863745713,0.8972005921998502
33,0.40621193187401616,0.8897075660925364
34,0.3614098292253781,1.0424349508294097
35,0.3767462375578224,0.9611786348546107
36,0.3621204343024386,1.0174989856162964
37,0.368457174573664,1.14085237139653
38,0.4203552413704298,1.089772603278595
39,0.45809162569005546,1.010772778852884
40,0.4630265454679725,0.965953787133708
41,0.4472622451382261,0.966229234981223
42,0.4321578569558924,1.0135265589556979
43,0.4380034656861744,1.1560031178700896
44,0.5063333719711224,0.9765175271957773
45,0.4944434123339401,1.0549140921351428
46,0.5215953234344605,0.8237088505489465
47,0.4296426843179054,0.8653700529601334
48,0.3717999124821197,1.130414261970813
49,0.42028792366928824,0.961424140444192
50,0.40407495575281965,0.9311752009824759
51,0.3762645781351169,0.9482652292000402
52,0.35679861642515304,1.1240105995546334
53,0.40104542676829996,0.9521153090007225
54,0.38184149043082655,1.0001470413733171
55,0.38189763692796896,0.8241466536738264
56,0.31473965952012756,0.9911831201503634
57,0.31196463775822303,1.0200672659916
58,0.3182249151240904,1.0133978668047139
59,0.32248845015086436,0.9295617719453477
60,0.29977293515414644,1.1058811397285129
61,0.33151323518802905,1.0434231026987497
62,0.3459085684455936,0.9234320708561621
63,0.31942306568660495,1.0903243427549942
64,0.3482747441555329,1.0037892813264968
65,0.3495944551400519,0.9167605266255439
66,0.32049439679956404,1.2455376530664954
67,0.39918783881069114,1.0192778087790786
68,0.4068833056342173,0.9458835317099098
69,0.3848642181270961,1.1003857692039531
70,0.4234991087028626,0.8869456438961426
71,0.37562068965790296,0.9984843778025276
72,0.37505139060282755,1.1138490367468217
73,0.41775063015351543,0.9946444753991215
74,0.4155133563766958,0.9081527192316808
75,0.37734958447057876,1.2571996566697117
76,0.47440376804087,0.9123728162245036
77,0.4328331018749647,1.1140274065330846
78,0.48218793794343734,1.0738673992339596
79,0.5178059068613049,1.0886932616183174
80,0.5637318016260647,0.925859071607911
81,0.5219362024893633,0.9643744929980159
82,0.5033419606529895,0.9795922744441014
83,0.49306989605921536,0.9959575254120362
84,0.491076673534306,1.0046876440016292
85,0.49337866615733916,1.0512576535503853
86,0.5186680988963832,0.8907694922653504
87,0.4620137191081658,0.9804390364743906
88,0.4529762856003598,0.8403344424752491
89,0.38065157441448755,1.0736174669148324
90,0.40867417910002496,1.0553637997082639
91,0.4312999344976579,0.8772602032940622
92,0.37836226821813107,1.0132035690231203
93,0.3833580005422935,1.0030985487067157
94,0.384545853979083,1.0557218457192001
95,0.4059734587264635,0.9363858907026422
96,0.3801478187512119,0.9855789615226175
97,0.37466569242990766,0.9908696579608094
98,0.3712448665076724,1.0846678198960338
99,0.4026773600024711,0.8653485962293821
100,0.34845628821149194,1.0680379224190018
